	individual_1	individual_2	individual_3	individual_4	individual_5	individual_6
cg01310482	0.922643489	0.929479075	0.914767769	0.929088961	0.931925472	0.932102888
cg01337736	NA	NA	NA	NA	NA	NA
cg01368780	0.955400508	0.957014198	0.962807404	0.940895408	0.949268424	0.940482071
cg01383401	NA	NA	NA	NA	NA	NA
cg01418388	0.953882319	0.956568636	0.960748915	0.939616414	0.954186229	0.943783675
cg01451277	NA	NA	NA	NA	NA	NA
cg01490663	0.941685046	0.941132323	0.946045943	0.946313556	0.95141857	0.94567161
cg01494348	0.136834034	0.270520679	0.304111669	0.106831614	0.123911254	0.114516859
cg01515427	0.950821466	0.94252439	0.962523641	0.920412253	0.96038856	0.940833658
cg01528321	0.125353452	0.132968446	NA	NA	0.120103234	0.111153792
cg01584086	0.392103801	0.313393751	0.464867203	0.056394197	0.060191597	0.048680178
cg01588379	0.47598966	0.460562599	0.427422402	0.3536522	0.509852438	0.424419892
cg01591343	NA	NA	NA	NA	NA	NA
cg01591369	NA	NA	NA	NA	NA	NA
cg01610536	0.939773426	0.943515416	0.943526471	0.908669608	0.94065234	0.930363616
cg01613406	NA	NA	NA	NA	NA	NA
cg01617117	NA	NA	NA	NA	NA	NA
cg01627046	NA	NA	NA	NA	NA	NA
cg01627483	0.297305975	0.266147895	0.246447087	0.292516611	0.368731912	0.325850717
cg01631333	0.384320349	0.370368167	0.320140936	0.487130939	0.401215487	0.402944909
cg01650818	0.81561413	0.832264406	0.877064894	0.817891518	0.844322251	0.825753998
cg01725130	0.693623662	0.762720129	0.691180901	0.771541465	0.702806273	0.796827201
cg01729837	0.552094547	0.508216381	0.596846782	0.457377301	0.449437589	0.473280175
cg01770232	0.308572976	0.301419028	0.336993758	0.241868459	0.346985784	0.283565628
cg01785359	0.398643619	0.401914188	0.400868688	0.381753334	0.388535604	0.409401037
cg01796338	NA	NA	NA	NA	NA	NA
cg01800148	0.688581158	0.594498704	0.67560627	NA	0.70350194	0.636583092
cg01802772	NA	NA	NA	NA	NA	NA
cg01812070	NA	NA	NA	NA	NA	NA
cg01831805	0.897200242	0.897240293	0.914338889	0.876230024	0.923146492	0.908152278
cg01836910	NA	NA	NA	NA	NA	NA
cg01858517	0.208102019	NA	0.189918351	0.215624292	0.181313437	0.170949445
cg01863596	0.72696924	0.769198392	0.784482221	0.720572378	0.66553291	0.673114799
cg01870826	0.248686824	0.252346675	0.301405234	0.192321689	0.178059576	0.215587742
cg01872988	NA	NA	NA	NA	NA	NA
cg01886460	0.045655007	0.138828148	0.093730453	0.049824441	0.039248638	0.047786987
cg01916088	0.443507056	0.538860262	0.749458805	0.220420266	0.430723509	0.423331367
cg01928411	0.678757654	0.652291827	0.580474523	NA	0.689698225	NA
cg01991743	NA	NA	NA	NA	NA	NA
cg01992765	NA	NA	NA	NA	NA	NA
cg01996297	0.861965485	0.881599755	0.864123571	0.865699472	0.850135156	0.837450867
cg02009395	0.746085539	0.804195733	0.701411905	0.753875421	0.769220371	0.820449191
cg02045894	0.967436259	0.969927276	0.975767853	0.968135644	0.966188756	0.969988244
cg02046562	0.949398218	0.940824372	0.948077696	0.926182367	0.95046965	0.937695802
cg02060567	NA	NA	NA	NA	NA	NA
cg02062970	0.907564613	0.91513077	0.929819863	0.857293849	0.91890247	0.887814374
cg02065182	0.965526775	0.968143446	0.961584187	0.95358558	0.952323264	0.962283839
cg02100959	0.912396433	0.934300294	0.940276114	0.893536772	0.926804314	0.901630788
cg02103875	0.832255841	0.870259871	0.815326876	0.841485601	0.883378214	0.87023844
cg02105519	0.020005851	0.017697701	0.019445622	0.021539908	0.019871243	0.020603623
cg02138331	0.950149908	0.959129722	0.950779208	0.93667705	0.955502399	0.947176604
cg02159489	NA	NA	NA	NA	NA	NA
cg02163885	0.066087332	0.244217255	0.302332316	NA	0.322715454	0.11123504
cg02167757	0.819143095	0.760216603	0.754373322	0.751240055	0.815416136	0.80003587
cg02193806	NA	NA	NA	NA	NA	NA
cg02210151	0.451432519	0.361077819	0.348990099	0.408308508	0.483834419	0.464520173
cg02232542	0.204116075	0.213850273	0.229592502	0.275668266	0.211574305	0.195350977
cg02235918	0.918239831	0.924279956	0.946435601	0.876977141	0.918668517	0.874916247
cg02250259	0.922607774	0.919809907	0.938971214	0.902136142	0.925390005	0.901393382
cg02256105	0.652031298	0.633043112	0.667181692	0.540499923	0.715616041	0.681457533
cg02288345	NA	NA	NA	NA	NA	NA
cg02303258	0.894115863	0.854057189	0.904807153	0.844536581	0.892692137	0.904826738
cg02317299	0.511271283	0.431382137	0.472699754	0.235002814	0.395762961	0.403890994
cg02331808	0.908237457	0.902471767	0.896657653	0.887508876	0.911812267	0.898766773
cg02332015	NA	NA	NA	NA	NA	NA
cg02335517	0.958199857	0.956819583	0.957853593	0.942246824	0.953526415	0.951262182
cg02368820	NA	NA	NA	NA	NA	NA
cg02372404	NA	NA	NA	NA	NA	NA
cg02376664	0.946080689	0.954151127	0.961839512	0.922933752	0.951769503	0.937922024
cg02386599	0.416968956	0.348578263	0.299195741	0.346312061	0.39522093	0.437046596
cg02393727	0.328501987	0.334189116	0.315971202	0.252294878	0.307163873	0.341260789
cg02399044	0.979148552	0.982288837	0.983387261	0.979038497	0.982841846	0.975555926
cg02399524	0.048159306	0.035920694	0.04766326	0.044876902	0.046135431	0.049003508
cg02419362	0.68140629	0.804370778	0.702769614	0.877154017	0.924754738	0.880819458
cg02453726	0.416110267	0.466881747	0.377918698	0.427756476	0.408603611	0.467891942
cg02458198	0.956906589	0.965559544	0.976355258	0.959662853	0.971305972	0.943363983
cg02464458	NA	NA	NA	NA	NA	NA
cg02466544	0.89232849	0.895469163	0.881437812	0.836400988	0.874133869	0.918672833
cg02471760	NA	NA	NA	NA	NA	NA
cg02475474	0.510591933	0.457206987	0.378872478	0.642944036	0.56180413	0.529910227
cg02502145	NA	NA	NA	NA	NA	NA
cg02505015	0.826143947	0.819637285	0.85737424	0.720207305	0.805734528	0.829707109
cg02505099	NA	NA	NA	NA	NA	NA
cg02514721	0.957055944	0.954941479	0.965703785	0.930852434	0.960174718	0.946458347
cg02532853	0.761197975	0.6934394	0.607622512	0.835749095	0.812489279	0.862725791
cg02533035	0.808944342	0.822862886	0.812478222	0.808686984	0.810379795	0.768038941
cg02545261	0.12425793	0.102820278	0.115776836	0.140287792	0.124813701	0.098236705
cg02553039	0.895257687	0.914514046	0.866492538	0.878651632	0.847862955	0.906300962
cg02554168	0.790035133	0.840337165	0.875747155	0.746345492	0.855648733	0.795539989
cg02561693	0.867559324	0.849627227	0.900416586	0.723841107	0.881076002	0.867741601
cg02565715	0.049717192	0.05997111	0.066662671	0.075541036	0.062760382	0.065861782
cg02567839	0.35617835	0.323209943	0.259702376	0.330688211	0.408806538	0.359849149
cg02626929	0.370198951	0.414220824	0.46635549	0.33998893	0.387726435	0.342007054
cg02628923	0.946757237	0.940633006	0.950313554	0.939953977	0.95458502	0.942867048
cg02633036	0.793468703	0.716444692	0.492452088	0.824028064	0.826187855	0.813702951
cg02655711	0.742452533	0.753986048	0.695003978	0.562071101	0.784849066	0.583678178
cg02658043	NA	NA	NA	NA	NA	NA
cg02673305	0.905297593	0.932385886	0.919283363	0.920808278	0.909994455	0.929949997
cg02741327	NA	NA	NA	NA	NA	NA
cg02784144	0.794770667	0.72993308	0.718015966	0.743680945	0.753097769	0.812538879
cg02792136	NA	NA	NA	NA	NA	NA
cg02872476	0.476531479	0.570635813	0.518940164	0.655385894	0.442279546	0.485814427
cg02877478	NA	NA	NA	NA	NA	NA
cg02886263	0.558089851	0.604783163	0.640690369	0.713348901	0.635200589	0.604770698
cg02907150	0.607053511	0.94628565	0.931734847	0.718672331	0.581659064	0.673034423
cg02907689	NA	NA	NA	NA	NA	NA
cg02910959	NA	NA	NA	NA	NA	NA
cg02910987	0.506274259	0.490063833	0.416492877	0.666006215	0.588724737	0.596490183
cg02915939	0.370076679	0.330041861	0.408681887	0.272618618	0.277010906	0.296143745
cg02918253	0.036821005	0.050544591	0.044749491	0.115229384	0.058823113	0.090004842
cg02925222	0.292605124	0.267733742	0.275659274	0.304130361	0.296661667	0.309456715
cg02931457	NA	NA	NA	NA	NA	NA
cg02975187	NA	NA	NA	NA	NA	NA
cg02977524	0.433250312	0.442310614	0.396364892	0.422617917	0.430645863	0.417576852
cg02996869	0.116002975	0.076502628	0.078407432	0.091058937	0.159446011	0.126876065
cg03020379	NA	NA	NA	NA	NA	NA
cg03024135	NA	NA	NA	NA	NA	NA
cg03025013	0.053620584	0.081129894	0.05913908	0.095767466	0.091099613	0.11830784
cg03052099	0.457346267	0.404401519	0.354488383	0.591069208	0.508712892	0.448588194
cg03067660	0.02518973	0.022394662	0.024006126	0.030061617	0.024920287	0.02665415
cg03075631	NA	NA	NA	NA	NA	NA
cg03088219	NA	NA	NA	NA	NA	NA
cg03096285	0.473178402	0.415613791	0.474889018	0.491165984	0.58262547	0.587693001
cg03099611	0.018757113	0.01868556	0.0171846	0.021925198	0.020299585	0.020964512
cg03115532	NA	NA	NA	NA	NA	NA
cg03124636	0.509214262	0.505026679	0.605957828	0.36112938	0.447155988	0.416510855
cg03144753	0.922847619	0.928888894	0.941473036	0.934431897	0.933907156	0.923798877
cg03147470	0.393862123	0.300535268	0.319815247	0.339402913	0.423894567	0.364129915
cg03158310	0.551929963	0.528782741	0.512446475	0.517466052	0.590896377	0.515722711
cg03159252	NA	NA	NA	NA	NA	NA
cg03163302	NA	NA	NA	NA	NA	NA
cg03190513	NA	NA	NA	NA	NA	NA
cg03196364	0.355233487	0.038703896	0.364845325	0.466397494	0.539532369	0.345856598
cg03244701	0.760396456	0.852825735	0.806214374	0.882379038	0.829240062	0.821585201
cg03258421	0.939570871	NA	0.95171876	0.945186009	0.966000576	0.92663612
cg03264071	NA	NA	NA	NA	NA	NA
cg03265268	0.926177764	0.92958416	0.911746695	0.860041659	0.828065648	0.902631447
cg03276022	NA	NA	NA	NA	NA	NA
cg03290281	0.683022971	0.825388777	0.694189112	NA	0.730255791	0.852043044
cg03301671	NA	NA	NA	NA	NA	NA
cg03312117	NA	NA	NA	NA	NA	NA
cg03320005	0.10443165	0.086229249	0.094537192	0.074742311	0.114167277	0.071882795
cg03321222	0.950464422	0.962492285	0.970047742	0.938562638	0.959779109	0.955669597
cg03321553	0.544880473	0.541620149	0.562806009	0.473848151	0.587503366	0.543224929
cg03328201	0.731096004	0.704049642	0.650276917	0.751622395	0.791606136	0.789646523
cg03329755	0.977457938	0.977038729	0.981584718	0.977231312	0.979604277	0.958538661
cg03335207	NA	NA	NA	NA	NA	NA
cg03364130	NA	NA	NA	NA	NA	NA
cg03400623	0.534118198	0.537171726	0.583169728	0.583218153	0.583649849	0.601434031
cg03411979	0.122557932	0.143222704	0.116145761	0.109639755	0.116692159	0.096355839
cg03414001	NA	NA	NA	NA	NA	NA
cg03416601	0.824553484	0.837243919	0.823774667	0.891212581	0.842916906	0.888037883
cg03420970	NA	NA	NA	NA	NA	NA
cg03448017	NA	NA	NA	NA	NA	NA
cg03467235	NA	NA	NA	NA	NA	NA
cg03478249	0.203313025	0.129628742	0.178555623	0.11829695	0.259215691	0.183008136
cg03480383	0.805767583	0.752175069	0.851180099	0.592175472	0.798817431	0.640960653
cg03488456	0.530246385	0.508402669	0.481186309	0.537338209	0.569991132	0.536355568
cg03540165	0.021642703	0.021031027	0.019668914	0.026301141	0.02309017	0.024987332
cg03541909	0.837308911	0.864754123	0.83122628	0.795161434	0.869743948	0.8496996
cg03548384	0.839869635	0.83365438	0.931823321	0.895876631	0.832346507	0.870160883
cg03576805	0.948574626	0.952567312	0.946325241	0.930102299	0.950955295	0.932947559
cg03578473	0.366677629	0.295424447	0.333797521	0.239602985	0.379071649	0.329611451
cg03621470	NA	NA	NA	NA	NA	NA
cg03629107	0.857933373	0.820433337	0.82943471	0.850465953	0.871555041	0.88237342
cg03639185	NA	NA	NA	NA	NA	NA
cg03658852	NA	NA	NA	NA	NA	NA
cg03678710	0.906611737	0.938471626	0.937290815	0.924396271	0.933929988	0.933663891
cg03680338	0.523303225	0.527430382	0.509086615	0.433369687	0.65516909	0.642931076
cg03688324	0.709999531	0.714976277	0.745714544	0.649082922	0.760224825	0.791215203
cg03717364	0.044130248	0.037085857	0.03296696	0.024760876	0.034952613	0.068236645
cg03727732	0.897231816	0.896372359	0.871931769	0.920933909	0.907022875	0.917674623
cg03734595	0.131840687	0.116983314	0.153318819	0.108396888	0.11615521	0.164175987
cg03779213	NA	NA	NA	NA	NA	NA
cg03781731	0.151548733	0.032035102	0.060403077	0.064322436	0.055170757	0.145000627
cg03794213	0.765227471	0.782354128	0.719968229	0.79846403	0.810905129	0.771968198
cg03812172	NA	NA	NA	NA	NA	NA
cg03826059	0.940161082	0.928397998	0.944354207	0.898726956	0.925228169	0.915445125
cg03832522	0.611497841	0.671251782	0.730359206	0.481601697	0.524543277	0.523222261
cg03834261	NA	NA	NA	NA	NA	NA
cg03853208	0.37426479	0.378258571	0.344757494	0.415250393	0.444989505	0.450637525
cg03894975	0.028637308	0.025095833	0.025818201	0.029709467	0.028829289	0.031468882
cg03908904	0.552670485	0.4659862	0.454608564	0.552867533	0.62984128	0.600644398
cg03932723	0.02286619	0.020927676	0.018307481	0.021630245	0.018456938	0.02296649
cg03970088	0.946854818	0.941527053	0.956436845	0.917021898	0.941311347	0.93732503
cg03985520	0.957641785	0.960602634	0.967516344	0.937595349	0.958149553	0.944378726
cg03987818	NA	NA	NA	NA	NA	NA
cg04006042	NA	NA	NA	NA	NA	NA
cg04011671	0.019983551	0.018236808	0.01672975	0.020616758	0.023629472	0.025417248
cg04012931	0.400665937	0.404673904	0.509507222	0.342903188	0.348872798	0.342574925
cg04034290	0.927809348	0.932845439	0.94543886	0.902640744	0.928198395	0.914590363
cg04036182	0.473886969	0.412348103	0.524230425	0.370027602	0.358423415	0.381204623
cg04057488	0.89384889	0.936105912	0.935124215	0.924331405	0.937747246	0.916542348
cg04083966	NA	NA	NA	NA	NA	NA
cg04145307	0.940397867	0.926410775	0.942305512	0.889399653	0.938079468	0.898235468
cg04173211	NA	NA	NA	NA	NA	NA
cg04173714	NA	NA	NA	NA	NA	NA
cg04182483	NA	NA	NA	NA	NA	NA
cg04184297	0.432801816	0.367608175	0.415899195	0.404531889	0.450659262	0.420600808
cg04189328	NA	NA	NA	NA	NA	NA
cg04193820	0.088474815	0.334933383	0.331233054	0.444237324	0.453928874	0.454354686
cg04204499	0.907874219	0.904829137	0.895492017	0.91496436	0.855305254	0.935707304
cg04217778	0.048174257	0.051185103	0.102239157	0.043579198	0.036636481	0.096661889
cg04224786	0.55692801	0.456758317	0.568696462	0.600221061	0.46589683	0.503071632
cg04233054	0.952037745	0.952903544	0.951417519	0.938458546	0.951234424	0.950903606
cg04239562	0.924231634	0.919180161	0.942666708	0.910341854	0.951565522	0.950460483
cg04263186	0.282755686	0.220393766	0.222943704	0.172189143	0.203205086	0.214583275
cg04281069	0.729742196	0.720050322	0.724330896	0.680611947	0.637461304	0.637860458
cg04287289	0.13105551	0.16696043	0.02977615	0.027869774	0.030592297	0.022861573
cg04311266	0.935258962	0.947059843	0.929197849	0.932310968	0.935414006	0.931479669
cg04330683	0.19089623	0.182751029	0.208624376	0.256111134	0.160612845	0.188969434
cg04331561	NA	NA	NA	NA	NA	NA
cg04364752	NA	NA	NA	NA	NA	NA
cg04398451	0.776207096	0.833398103	0.815981733	0.868078268	0.974214995	0.694685637
cg04422903	0.550877268	0.47579949	0.545886693	0.454074268	0.52468344	0.565091567
cg04431829	0.652690186	0.665036316	0.775826351	0.610533075	0.590038673	0.631879847
cg04451570	NA	NA	NA	NA	NA	NA
cg04465730	0.760986631	0.811515828	0.878584273	0.680935388	0.75712994	0.839334673
cg04476531	0.783438642	0.800758414	0.657920692	0.915766349	0.831723431	0.860498641
cg04483863	0.659012143	0.63311003	0.566176565	0.601606117	0.631952383	0.611784164
cg04500185	NA	NA	NA	NA	NA	NA
cg04514385	NA	NA	NA	NA	NA	NA
cg04520693	NA	NA	NA	NA	NA	NA
cg04522596	0.932750756	0.928827605	0.94562872	0.905697879	0.925176525	0.940462664
cg04523712	NA	NA	NA	NA	NA	NA
cg04535008	0.088259415	0.074134386	0.056853745	0.06776949	0.061029385	0.055317722
cg04542290	0.95434994	0.960422014	0.955694754	0.937834991	0.962702754	0.949843681
cg04566473	NA	NA	NA	NA	NA	NA
cg04569222	0.956445516	0.95524389	0.958912784	0.941065031	0.956033568	0.947512174
cg04580170	0.864218984	0.894709672	0.821069542	0.86691073	0.882386967	0.922746161
cg04598128	0.144384818	0.124599828	0.134764413	0.142657738	0.137594861	0.123436388
cg04610028	NA	NA	NA	NA	NA	NA
cg04622802	0.222437678	0.133624824	0.181461272	0.173643156	0.132062469	0.12492749
cg04710680	0.028740691	0.026525797	0.02433614	0.029604916	0.025860323	0.026646797
cg04739228	NA	NA	NA	NA	NA	NA
cg04740205	0.153160227	0.16812638	0.117780608	NA	0.137452961	0.166330361
cg04746089	0.393259712	0.362507451	0.327259955	0.399266713	0.390286474	0.380408432
cg04746890	0.253857602	0.171424189	0.202187827	0.232442407	0.210992171	0.227328466
cg04747634	0.07778435	0.060970894	0.062085476	0.076905434	0.06815491	0.092023846
cg04770577	0.957678849	0.947845963	0.941786627	0.934823353	0.94330187	0.937030247
cg04784315	0.757904872	0.825208483	0.842630464	0.698943514	0.765859833	0.769324326
cg04790169	0.727898867	0.739434693	0.705305069	0.680345031	0.80824475	0.730572957
cg04790923	0.928663098	0.889639049	0.941512797	NA	0.915006583	NA
cg04816302	0.056868052	0.058005858	0.039542112	0.05393792	0.054876104	0.049122423
cg04852694	NA	NA	NA	NA	NA	NA
cg04855044	0.957906261	0.961880583	0.96061159	0.947227871	0.955137424	0.954369474
cg04863758	0.450673894	0.370220768	0.414869291	0.37929215	0.521127422	0.476876308
cg04878146	NA	NA	NA	NA	NA	NA
cg04895202	NA	NA	NA	NA	NA	NA
cg04919425	0.649794045	0.683015284	0.703915601	0.782025975	0.67018355	0.758832663
cg04926904	0.324181086	0.282112234	0.266531445	0.473669723	0.29228267	0.349029286
cg04934595	0.902725534	0.914201348	0.980081814	0.965478956	0.921078132	0.950434839
cg04944491	NA	NA	NA	0.944553148	0.945820285	0.948848848
cg04944904	0.760254657	0.742524141	0.821595506	0.637029211	0.754670177	0.66333799
cg04966851	NA	NA	NA	NA	NA	NA
cg04977749	0.897975374	0.910682965	0.901752508	0.886245684	0.908264791	0.923665655
cg05000824	0.05756632	0.045521055	0.068552665	0.067703255	0.061186753	0.048200628
cg05008570	0.947678822	0.943755086	0.950510919	0.943743128	0.954462221	0.951746094
cg05026840	0.982627367	0.983723875	0.970829915	0.979575191	0.98325351	0.981701261
cg05033939	NA	NA	NA	NA	NA	NA
cg05048976	0.425871646	0.408574891	0.376232663	0.291921458	0.428632763	0.37851141
cg05049822	NA	NA	NA	NA	NA	NA
cg05058748	0.566119854	0.493715905	0.452557	0.688890663	0.58965533	0.561363004
cg05059349	NA	NA	NA	NA	NA	NA
cg05066203	0.952576715	0.95053213	0.949393077	0.951359263	0.943985012	0.930340036
cg05098425	NA	NA	NA	NA	NA	NA
cg05105354	0.934039053	0.935921699	0.949071864	0.894858543	0.926718241	0.911339768
cg05152781	NA	NA	NA	NA	NA	NA
cg05159804	NA	NA	NA	NA	NA	NA
cg05174855	NA	NA	NA	NA	NA	NA
cg05195318	NA	NA	NA	NA	NA	NA
cg05206120	0.873069031	0.89287832	0.908478132	0.830432924	0.908270808	0.853991449
cg05227549	0.029267264	0.029521176	0.025871368	0.053614816	0.036472445	0.044296156
cg05273049	NA	NA	NA	NA	NA	NA
cg05280088	0.943747995	0.932163694	0.950565033	0.887050773	0.942265027	0.909958383
cg05283992	NA	NA	NA	NA	NA	NA
cg05287064	NA	NA	NA	NA	NA	NA
cg05288381	0.858175294	0.858344045	0.887659313	0.83824841	0.835202696	0.878285854
cg05290751	NA	NA	NA	NA	NA	NA
cg05295388	0.535435571	0.620628188	0.564136709	0.504661261	0.558937749	0.565988574
cg05302035	0.932475164	0.923014165	0.936429429	0.896671512	0.941177041	0.905106493
cg05302531	NA	NA	NA	NA	NA	NA
cg05338731	NA	NA	NA	NA	NA	NA
cg05340744	NA	NA	NA	NA	NA	NA
cg05376185	0.510408974	0.628358496	0.427280089	0.373888956	0.55994608	0.498036577
cg05382185	0.814151886	0.881721553	0.839734024	0.856376016	0.83167389	0.868509896
cg05389335	0.099643807	0.069312622	0.078438096	0.097336161	0.112995005	0.080952232
cg05393297	0.450940399	0.157896425	0.170161383	0.493934338	0.45619765	0.620085231
cg05412957	NA	NA	NA	NA	NA	NA
cg05415871	NA	NA	NA	NA	NA	NA
cg05443523	0.107581557	0.085424575	0.092188229	0.125506133	0.090481207	0.106230636
cg05461169	0.538396812	0.483883742	0.41279552	0.724659033	0.584729723	0.587462306
cg05472380	NA	NA	NA	NA	NA	NA
cg05477457	0.39958181	0.484089726	0.457082881	0.251238759	0.479487128	0.472697205
cg05485206	0.947467408	0.956953958	0.969692573	0.957211922	0.967163253	0.963497255
cg05502360	NA	NA	NA	NA	NA	NA
cg05531409	NA	NA	NA	NA	NA	NA
cg05547895	0.214107023	0.221793531	0.190766481	0.203131262	0.240927463	0.25917863
cg05568941	0.499021261	0.563645684	0.421272581	0.471270518	0.551612963	0.533354521
cg05573473	0.947850884	0.945298286	0.957481677	0.927911313	0.88382595	0.951875753
cg05638787	NA	NA	NA	NA	NA	NA
